i,archivo,busqueda,categoria_web,ciudad,clase,cp,direccion,latitud,longitud,nombre,subclase
11144,./CYL/DESCARGAS CATCHAPAGE SALAMANCA/Salamanca_45393.csv,SALAMANCA,caravanas y autocaravanas: venta y servicios,ventallo,45393,17473,"carretera c-31, 1, , km 368.5",0,0,caravan inn,
11145,./CYL/DESCARGAS CATCHAPAGE SALAMANCA/Salamanca_45393.csv,SALAMANCA,caravanas y autocaravanas: venta y servicios, ,45393,,,0,0,caravanas atin,
11146,./CYL/DESCARGAS CATCHAPAGE SALAMANCA/Salamanca_45393.csv,SALAMANCA,caravanas y autocaravanas: venta y servicios,mos,45393,36419,"carretera porrino - gondomar, 0, km 3",0,0,caravanas atin,
11148,./CYL/DESCARGAS CATCHAPAGE SALAMANCA/Salamanca_45393.csv,SALAMANCA,caravanas y autocaravanas: venta y servicios,real de gandia,45393,46727,"partida casa company, 1",0,0,caravanas expo - gandia,
11150,./CYL/DESCARGAS CATCHAPAGE SALAMANCA/Salamanca_45393.csv,SALAMANCA,caravanas y autocaravanas: venta y servicios, ,45393,,,0,0,caravanas itsas mendi,
11151,./CYL/DESCARGAS CATCHAPAGE SALAMANCA/Salamanca_45393.csv,SALAMANCA,caravanas y autocaravanas: venta y servicios, ,45393,,,0,0,caravanas jarama s.a.,
11159,./CYL/DESCARGAS CATCHAPAGE SALAMANCA/Salamanca_45393.csv,SALAMANCA,caravanas y autocaravanas: venta y servicios, ,45393,,,0,0,caravanas zubeldia - rent,
11165,./CYL/DESCARGAS CATCHAPAGE SALAMANCA/Salamanca_45393.csv,SALAMANCA,caravanas y autocaravanas: venta y servicios, ,45393,,,0,0,esmi camping,
11169,./CYL/DESCARGAS CATCHAPAGE SALAMANCA/Salamanca_45393.csv,SALAMANCA,caravanas y autocaravanas: venta y servicios,vilafranca del penedes,45393,8720,"carretera barcelona, km 1214,4",0,0,m3 caravaning,
11174,./CYL/DESCARGAS CATCHAPAGE SALAMANCA/Salamanca_44229_articuloshogar.csv,SALAMANCA,envases de plastico, ,44229,,,0,0,arcas envases plasticos,articuloshogar
11185,./CYL/DESCARGAS CATCHAPAGE SALAMANCA/Salamanca_44229_articuloshogar.csv,SALAMANCA,centros comerciales y grandes almacenes, ,44229,,,0,0,el corte ingles,articuloshogar
11200,./CYL/DESCARGAS CATCHAPAGE SALAMANCA/Salamanca_44229_articuloshogar.csv,SALAMANCA,colchonerias,salamanca,44229,,,0,0,la colchoneria,articuloshogar
11204,./CYL/DESCARGAS CATCHAPAGE SALAMANCA/Salamanca_44229_articuloshogar.csv,SALAMANCA,plastico articulos: fabricantes y mayoristas, ,44229,,,0,0,metacrilatoonline,articuloshogar
11205,./CYL/DESCARGAS CATCHAPAGE SALAMANCA/Salamanca_44229_articuloshogar.csv,SALAMANCA,plastico articulos: fabricantes y mayoristas, ,44229,,,0,0,plasticos ferplast s.l.,articuloshogar
